Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe
MILANO;CITTA' METROPOLITANA DI MILANO;AREA AMBROS SARO;De Amicis;20-22;12526
MILANO;CITTA' METROPOLITANA DI MILANO;AREA AMSA;Olgettina;23-25;15148
MILANO;CITTA' METROPOLITANA DI MILANO;AREA ARTIGIANALE DISMESSA;Cola di Rienzo/Montecatini;5/7;15890
MILANO;CITTA' METROPOLITANA DI MILANO;AREA ARTIGIANALE DISMESSA;Troya angolo S.Cristoforo;24/32;12426
MILANO;CITTA' METROPOLITANA DI MILANO;AREA AUTORIMESSA VARESINA;Panfilo Nuvolone;5;13246
MILANO;CITTA' METROPOLITANA DI MILANO;AREA CASCINA MEZZATE;Manzù;;16306
MILANO;CITTA' METROPOLITANA DI MILANO;AREA CASCINA S. GIUSEPPE;ADRIANO;-;3968
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale;MEDA;34;3991
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale;TULIPANI;13;3109
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale  -  dismissione serbatoio interrato;astico;12/14;3763
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale - rimozione serbatoio;Magenta;65;4314
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale - Rimozione serbatoio;cuoco;4;3716
MILANO;CITTA' METROPOLITANA DI MILANO;Area condominiale - serbatoi centrale termica;della Marna;7/9;4362
MILANO;CITTA' METROPOLITANA DI MILANO;AREA CONDOMINIO;Colombo;5;15628
MILANO;CITTA' METROPOLITANA DI MILANO;AREA CONDOMINIO;Costanza;41;15152
MILANO;CITTA' METROPOLITANA DI MILANO;Area di Largo Giambellino 129;Largo Giambellino;129;8046
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI PROPRIETA DI MIR IMMOBILIARE;Privata Chieti;9/1;11107
MILANO;CITTA' METROPOLITANA DI MILANO;Area dismessa - ex autodemolizioni;LITTA MODIGNANI;98;3470
MILANO;CITTA' METROPOLITANA DI MILANO;Area  Dismessa Ex Centrale del Latte;Castelbarco;27;9354
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA ADRIANO 6O ALER;Adriano;60;15529
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA AJRAGHI 40;AJRAGHI;40;3911
MILANO;CITTA' METROPOLITANA DI MILANO;Area di Via Alberto Mario 15-19;Alberto Mario;15 - 19;11866
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA ALTAGUARDIA;Altaguardia;11;12632
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA BREMBO;Brembo;3;13999
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA CERMENATE;Ceermenate;38;15513
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA COGNE;Cogne;0;16126
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA DEMOSTENE;Demostene;10;15456
MILANO;CITTA' METROPOLITANA DI MILANO;AREA DI VIA EINSTEIN;Einstein;6;14207
