Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe
OSTIGLIA;MANTOVA;PBL COLORI ESSO 105667;Abetone Brennero;0;15846
OSTIGLIA;MANTOVA;P.V. ESSO 1201;Abetone Brennero;-;4815
POGGIO RUSCO;MANTOVA;P.V. AGIP N. 2550;12 DELL'ABETONE;;3522
RODIGO;MANTOVA;CUMULO POSTO SOTTO SEQUESTRO;per Malpensa;09;16188
ROVERBELLA;MANTOVA;PUNTO VENDITA ESSO 1214;statale  N. 249  Km 4+065;;3313
SUSTINENTE;MANTOVA;P.V. AGIP 12090;Marconi ex S.S. 482 km 19+100;-;4777
VIADANA;MANTOVA;TAMOIL P.V. N. 1276 - LOC. BELLAGUARDA;ARGINE CERIANA;-;3267
BARZANO';LECCO;PUNTO VENDITA CARBURANTI ESSO;ROMA;58;3274
BELLANO;LECCO;Presidio Ospedaliero Umberto I - sversamento gasolio;Carlo Alberto;25;5457
BRIVIO;LECCO;Gruppo SAL spa EX-GEPLAST EX ITALPLASTIC;COMO;73;2994
BULCIAGO;LECCO;Imagest Edificio industriale;Briantea;-;6707
BULCIAGO;LECCO;km36, HONEYWELL TEVA P. F. C. SRL;BRIANTEA;83;3133
CALCO;LECCO;PV SHELL N. 12  DITTA C.P.P.;NAZIONALE;5;4156
CALOLZIOCORTE;LECCO;DITTA I.C.S. SPA;STOPPANI;25;2643
CALOLZIOCORTE;LECCO;ESSO ITALIANA S.R.L. 0987;EUROPA;84;2992
CALOLZIOCORTE;LECCO;EX PV Q8 NUMERO 1403;DANTE;39;4148
CASSAGO BRIANZA;LECCO;area ex SALVIT,serbatoio interrato;;;42
CASSAGO BRIANZA;LECCO;CEMENTERIA DI MERONE S.P.A. - Holcim Cementi S.p.A.;STAZIONE;1;3271
CERNUSCO LOMBARDONE;LECCO;TOTAL ITALIA SPA PV 2102;Statale 36 dello Spluga km 31+240;;11166
CIVATE;LECCO;EX AMBITO PRODUTTIVO;Provinciale;29/33;13832
LECCO;LECCO;DEPOSITO DI ROTTAMI FERROSI NELL'AREA DELLA DITTA RIVA SERGIO;BELFIORE;26;4145
LECCO;LECCO;ex-P.V. AGIP N1873  -oggi Tamoil;BERGAMO;157;2784
MERATE;LECCO;EX PUNTO VENDITA TOTAL;XXV aprile;31;10512
MISSAGLIA;LECCO;Area dismessa;Europa;21;11608
MOLTENO;LECCO;DITTA KONIG SPA;LOMBARDIA;8;4140
MOLTENO;LECCO;PV TAMOIL 6074;50;;3353
OSNAGO;LECCO;AREA VIA DELLE MARASCHE;Delle Marasche e XXV Aprile;0;16507
ROVAGNATE;LECCO;Ex PV AGIP 1914;Brusadelli;-;6982
SANTA MARIA HOE';LECCO;DITTA BESSEL S.P.A.;PAPA GIOVANNI XXIII;59;4142
VALMADRERA;LECCO;AREA EX DITTA FOMP FONDERIE S.P.A.;COMO;14;4154
VALMADRERA;LECCO;Ditta SILEA S.p.A.;Vassena;6;12206
VERCURAGO;LECCO;EX  AREA SA.FI.LO;Pirelli;1;10012
VERDERIO;LECCO;AREA IMPIANTO DI DEPURAZIONE ECOSYSTEM - FOGLIO 3 MAPP. 1028;dei Tre Re;31;4141
VERDERIO;LECCO;TERNA SPA GRUPPO ENEL, CON CORNATE D'ADDA;Per Cornate;;2975
CASALETTO LODIGIANO;LODI;DITTA PROCHISA S.p.A - LOC. MAIRANO;RIMEMBRANZE;1;2551
CASALPUSTERLENGO;LODI;PANTAECO S.r.l.;COSTE FORNACI;;4034
CASALPUSTERLENGO;LODI;P.V. Q8 1113;XXV Aprile;9;5339
CODOGNO;LODI;Area Ex DEBAT Chimica ora CHEMITRUST;Borsa;11;5338
CODOGNO;LODI;INSEDIAMENTO INDUSTRIALE;Buonarroti;9;15151
CORNEGLIANO LAUDENSE;LODI;Area Soc. LIVIANA srl, in prossimità roggia Codogna;Marescalca;-;1880
CRESPIATICA;LODI;ex FINITALIA, ora ANGELO BERETTA;Nino Dall'Oro;32;2728
CRESPIATICA;LODI;EX SAINT GOBAIN ISOVER ITALIA ORA DITTA OTIL;DANTE;76;3583
CRESPIATICA;LODI;N.E.T. ex RA.BO International;Dante Alighieri;51;78
FOMBIO;LODI;AKZO NOBEL S.p.a. + Chemval;Emilia;2;280
FOMBIO;LODI;MICRON S.N.C.,  EX LAMBDA 2;EMILIA;4;3193
FOMBIO;LODI;P.V. Carburanti API;EMILIA S.S. 9 KM 207+709;;4075
GUARDAMIGLIO;LODI;Area ex Ecoprogram;CASCINA TRAVERSI;-;3350
LODI;LODI;AREA  PRODUTTIVA DISMESSA;S.Angelo;1;15251
LODI;LODI;BAERLOCHER ITALIA SPA;San Colombano;62/A;2884
LODI;LODI;Ex Punto vendita Shell 49180;CAVALLOTTI;31;266
LODI;LODI;P.V. TotalErg ex AGIP N. 2168;SANT'ANGELO;-;3519
LODI;LODI;P.V. TOTAL Ex P.V. IP, ex P.V. AGIP 1967;Milano;46;5344
LODI VECCHIO;LODI;SOCIETA' SIGEMI SRL;Pezzolo/Lodi Vecchio;-;4104
LODI VECCHIO;LODI;Stabilimento REEVES S.p.a. ora Trelleborg;industriale;-;5322
MARUDO;LODI;Stabilimento Dobfar Holding;Vignazze;45;6988
MONTANASO LOMBARDO;LODI;CENTRALE TERMOELETTRICA E-ON ex-ENDESA ITALIA DI TAVAZZANO E MONTANASO;EMILIA;12/A;3327
MONTANASO LOMBARDO;LODI;Sinistro stradale ROGGIA MONTANASA del 27/12/08;Provinciale 16 Km 1+600;-;9401
MULAZZANO;LODI;PROPR. IMMOB.90, NUOVA CROMOTIME - FRAZ. CASSINO D'ALBERI;ALESSANDRINI;12;2633
PIEVE FISSIRAGA;LODI;VISCOLUBE;Tavernelle;19;12867
SAN MARTINO IN STRADA;LODI;Area loc. Camairana ex LE ANSE DELL'ADDA;CAMAIRANA;-;3570
SAN ROCCO AL PORTO;LODI;Area agricola - spandimento incontrollato;CASCINA ISOLONE;;3373
SAN ROCCO AL PORTO;LODI;AREA IMPIANTO FOTOVOLTAICO TERNA;Contesse;-;12950
SANT'ANGELO LODIGIANO;LODI;EX DITTA ELETTROGALVANICA CELLA snc;TURATI;3/5;2647
SANT'ANGELO LODIGIANO;LODI;P.V. ESSO 0523;Zara;2;5320
SECUGNAGO;LODI;Società SCAR S.r.l.;ZONA INDUSTRIALE;;193
SOMAGLIA;LODI;Area di servizio P.V. ESSO EX P.V. ERG MI445;A1 Somaglia Ovest;-;5341
SOMAGLIA;LODI;CONCERIA PALLADIO SRL;CA' BIANCA;;2596
SOMAGLIA;LODI;P.V. SHELL 49.230, Ads Somaglia Est, A1;A1;-;8454
TAVAZZANO CON VILLAVESCO;LODI;SOCIETA' ELETTROCHIMICA SOLFURI E CLORODERIVATI S.P.A.;LODIVECCHIO;10;2950
VALERA FRATTA;LODI;Discarica rsu;C.na  Sacchella;;231
VILLANOVA DEL SILLARO;LODI;ex cava BARGANO;;;242
AGRATE BRIANZA;MONZA-BRIANZA;Sversamento incidentale A4 al KM 20 + 300 EST;A4;;2597
ARCORE;MONZA-BRIANZA;Società SOFINPAR/FINTECNA, EX AREA FALCK - Società Devero SpA;Grandi;100;9371
BARLASSINA;MONZA-BRIANZA;Punto vendita Carburanti 4205 s.s dei giovi;Milano;0;9132
BELLUSCO;MONZA-BRIANZA;FRATELLI BIELLA PETROLI SPA;SAN NAZZARO;22;3173
BESANA IN BRIANZA;MONZA-BRIANZA;P.V. ESSO 0026;Kennedy;21;4924
BIASSONO;MONZA-BRIANZA;Area di Via Garibaldi;Garibaldi;9/11;4634
BOVISIO-MASCIAGO;MONZA-BRIANZA;AREA EX ACNA;loc. Groane;;3269
BOVISIO-MASCIAGO;MONZA-BRIANZA;Area Ex ICSAM S.r.l.;Tolmino;56;8266
BOVISIO-MASCIAGO;MONZA-BRIANZA;Ex insediamento industriale;Via C. Cantù;;2819
BOVISIO-MASCIAGO;MONZA-BRIANZA;MINGARDI & FERRARA SRL area ex RELUB;DELL'INDUSTRIA;6;3417
BRUGHERIO;MONZA-BRIANZA;Area di Via S. Giuseppe angolo Via Galbiati;San Giuseppe;-;12629
BRUGHERIO;MONZA-BRIANZA;Ditta Cromium Plating Italiana spa, CPI;Via Aristotele;4;27
BRUGHERIO;MONZA-BRIANZA;ex insediamento Stoppani Coatings;Lombardia;2;7505
BRUGHERIO;MONZA-BRIANZA;MAGNAGHI AEROSPACE SPA;SAN MAURIZIO AL LAMBRO;20;3317
BURAGO DI MOLGORA;MONZA-BRIANZA;Area BASF Coatings;200;-;6708
CERIANO LAGHETTO;MONZA-BRIANZA;ex-Rhodia Italia s.p.a.  - Ceriano 2010 srl;I Maggio;80;13366
CERIANO LAGHETTO;MONZA-BRIANZA;SNIA S.P.A., RHODIA ENGINEERING PLASTICS S.R.L., CAFFARO FLEXIBILE PACKAGING S.P.A., CON SOLARO;1° MAGGIO;;2917
CESANO MADERNO;MONZA-BRIANZA;Area BASF Italia srl;Marconato;8;13887
CESANO MADERNO;MONZA-BRIANZA;Discariche ex SNIA - Aree esterne di proprietà NYLSTAR - Immobiliare SNIA;VIA DELLE GROANE;;60
CONCOREZZO;MONZA-BRIANZA;DITTA ICROM;1° MAGGIO;36;2719
CORREZZANA;MONZA-BRIANZA;Antibioticos S.p.A.;Guzzafame;-;73
DESIO;MONZA-BRIANZA;Area di Via Galvani 24;Galvani;24;6487
DESIO;MONZA-BRIANZA;Area industriale dismessa;Bernina;7;15451
DESIO;MONZA-BRIANZA;AREA VIA AGNESI;via Agnesi;212;9209
DESIO;MONZA-BRIANZA;AREA VIA DUE PALME 35;Due Palme;35;14706
DESIO;MONZA-BRIANZA;CAPANNONE FARINA;Don Sturzo;40;14831
DESIO;MONZA-BRIANZA;CONSORZIO TRASPORTI NORD MILANO SPA;GUIDO ROSSA;17;3156
LESMO;MONZA-BRIANZA;ex Soc. Nobel Chemicals;PEREGALLO;;1084
LESMO;MONZA-BRIANZA;PV SHELL 49.022;XXV Aprile;18;16148
LIMBIATE;MONZA-BRIANZA;Edificio scolastico, serbatoio;GRAN SASSO;;16711
LIMBIATE;MONZA-BRIANZA;Europeir S.r.l. - Area 1;Salerno/Via Po;-;8065
LISSONE;MONZA-BRIANZA;AREA DI VIA VESPUCCI - f.lli Mariani;Vespucci;11;12387
LISSONE;MONZA-BRIANZA;Area via Nobel 38;Nobel;38;12046
MONZA;MONZA-BRIANZA;Area condominiale - serbatoio;ADIGRAT;14;3466
MONZA;MONZA-BRIANZA;Area ex P.V. Carburanti FLEN Spa;Boito;31;11751
MONZA;MONZA-BRIANZA;AREA MELETTE DI GALLIO;Melette di Gallio angolo Via Vetta d'Italia;;15729
MONZA;MONZA-BRIANZA;AREA PIANO ATTUATIVO 41 F;Europa;;14547
MONZA;MONZA-BRIANZA;AUTODEMOLIZIONI Verrastro;delle industrie;45;3660
MONZA;MONZA-BRIANZA;COSMALVER;Sicilia- Privata Pompei;114;12366
MONZA;MONZA-BRIANZA;EX CAVA NEL CIMITERO CENTRALE DI MONZA;;;2627
MONZA;MONZA-BRIANZA;F.LLI RE S.A.S.;TORQUATO TASSO;11;3265
MONZA;MONZA-BRIANZA;Philips - Sede Operativa;Casati;23;8239
MONZA;MONZA-BRIANZA;P.V. ESSO 0018;Lecco;140;4740
MONZA;MONZA-BRIANZA;P.V. ESSO 0070;Fermi;35;4736
MONZA;MONZA-BRIANZA;P.V. Q8 1171;Monte Santo;9;8067
NOVA MILANESE;MONZA-BRIANZA;Area dismessa SPEEDOIL;Caravaggio;56;10586
NOVA MILANESE;MONZA-BRIANZA;ex CROMOTECNICA;SILVIO PELLICO;4;153
RENATE;MONZA-BRIANZA;Ex P.V. Q8 1236;Dante Alighieri;4;4874
SEREGNO;MONZA-BRIANZA;Ex deposito mezzi;Valassina;40;15870
VERANO BRIANZA;MONZA-BRIANZA;Area cimiteriale;CIMITERO;/;2531
VILLASANTA;MONZA-BRIANZA;DELCHI CARRIER spa;R. Sanzio;nd;243
VILLASANTA;MONZA-BRIANZA;EX FABBRICA TRONCONI;Garibaldi;73/75;11409
VILLASANTA;MONZA-BRIANZA;LOMBARDA PETROLI S.P.A.;RAFFAELLO SANZIO;4;2306
VIMERCATE;MONZA-BRIANZA;CAVA BRIOSCHI;DEL BURAGHINO;;3220
CAPONAGO;MONZA-BRIANZA;P.V. AGIP 2155, Autostrada A4 area servizio Brianza Sud;A4;-;10730
