Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe;CampoUnivoco;                                                                                                                                                                 ##
VERDELLINO;BERGAMO;Cromoplastica International spa;Oslo;3;9245;598;                                                                                                                                                                                   ##
VERDELLINO;BERGAMO;NUOVA IGB SRL;Italia;19;14076;599;                                                                                                                                                                                                 ##
VILLA D'ALME';BERGAMO;P.V. AGIP 1542 Sp 470;Sigismondi;39;4494;600;                                                                                                                                                                                   ##
ZANICA;BERGAMO;Area Ex Discarica SEAM;Padergnone;-;5595;601;                                                                                                                                                                                          ##
ZANICA;BERGAMO;Discarica CUTER;Cascina Cucco;;246;602;                                                                                                                                                                                                ##
AGNOSINE;BRESCIA;EX RIVADOSSI;Marconi;17;15893;603;                                                                                                                                                                                                   ##
BAGNOLO MELLA;BRESCIA;P.V. TAMOIL 8228, A.d.s. Ghedi Est;A 21;-;5435;604;                                                                                                                                                                             ##
BERZO DEMO;BRESCIA;Discarica GRAFTECH Stabilimento Forno Allione;-;-;5265;605;                                                                                                                                                                        ##
BOTTICINO;BRESCIA;Area DOROTEX srl in liquidazione, con Cromatura Staff plume  Cr VI;GARIBALDI;34;3467;606;                                                                                                                                           ##
BRESCIA;BRESCIA;Area Ex Magazzini Generali;-;-;6261;607;                                                                                                                                                                                              ##
BRESCIA;BRESCIA;Baratti di Eredi Inselvini s.r.l.;Padova;7;9967;608;                                                                                                                                                                                  ##
BRESCIA;BRESCIA;Cava Piccinelli;;;250;609;                                                                                                                                                                                                            ##
BRESCIA;BRESCIA;Ditta Forzanini - ex-Cromatura Forzanini - SIN Brescia-Caffaro;Ancona;62;14287;610;                                                                                                                                                   ##
BRESCIA;BRESCIA;EX DEPOSITO ITALIANA PETROLI - PUNTO VENDITA 6977;SOSTEGNO;;3591;611;                                                                                                                                                                 ##
BRESCIA;BRESCIA;Linea AV/AC Milano-Verona Tratto Funzionale Treviglio Brescia IBS06b;ferroviario;-;16414;612;                                                                                                                                         ##
BRESCIA;BRESCIA;Linea AV/AC TO-VE tratta Milano-Verona Lotto Funzionale Treviglio Brescia;ferroviario Brescia;;14006;613;                                                                                                                             ##
BRESCIA;BRESCIA;P.M.B. COSTRUZIONI S.R.L. EX CAM PETROLI;SARDEGNA;105;3131;614;                                                                                                                                                                       ##
BRESCIA;BRESCIA;P.V. AGIP 51755;Dalmazia;44;5258;615;                                                                                                                                                                                                 ##
BRESCIA;BRESCIA;SEDE IV CIRCOSCRIZIONE;VILLA GLORI;13;2883;616;                                                                                                                                                                                       ##
CALCINATO;BRESCIA;AREA DEMANIO REGIONALE - LOCALITA' PONTE SAN MARCO;GAVARDINA;;2742;617;                                                                                                                                                             ##
CALVISANO;BRESCIA;SISVA srl;brescia;65;32;618;                                                                                                                                                                                                        ##
CAPRIANO DEL COLLE;BRESCIA;Discarica Raffineria Metalli Capra;Monte Netto;-;6260;619;                                                                                                                                                                 ##
CASTEGNATO;BRESCIA;EX DISCARICA di R.S.U.;PIANERA;;3497;620;                                                                                                                                                                                          ##
CASTENEDOLO;BRESCIA;CAVA FAUSTINI;GHISELLE;;3592;621;                                                                                                                                                                                                 ##
CASTENEDOLO;BRESCIA;EX CAVA LAGO BORGO;RISORGIMENTO;114;3041;622;                                                                                                                                                                                     ##
CHIARI;BRESCIA;CAMPO SPORTIVO;Monteverdi;;3733;623;                                                                                                                                                                                                   ##
CHIARI;BRESCIA;PALAZZO CAVALLERI - PROPRIETA' RITIM;S.S. TRINITA';5;4114;624;                                                                                                                                                                         ##
CHIARI;BRESCIA;PARCO LOTTIZZAZIONE TRIFOGLIO;Trifoglio;;3714;625;                                                                                                                                                                                     ##
CHIARI;BRESCIA;PARCO VILLA MAZZOTTI;Mazzini;;3675;626;                                                                                                                                                                                                ##
CONCESIO;BRESCIA;"CAFFARO SPA - SOTTOSTAZIONE ELETTRICA ""STOCCHETTA""";ZANARDELLI;50;3435;627;                                                                                                                                                       ##
DARFO BOARIO TERME;BRESCIA;ALBA - EX ACCIAIERIA SERENA  DI DARFO;PRADE A ERBANNO;--;4090;628;                                                                                                                                                         ##
DARFO BOARIO TERME;BRESCIA;DARFO Trade - ex-Sageter;Bonara;12;11646;629;                                                                                                                                                                              ##
DARFO BOARIO TERME;BRESCIA;EX ITALSIDER;Bonara;;14909;630;                                                                                                                                                                                            ##
DARFO BOARIO TERME;BRESCIA;EX STABILIMENTO CERESTAR SpA ora proprietà DIAMALTERIA ITALIANA;LEPETIT;6;3581;631;                                                                                                                                       ##
DARFO BOARIO TERME;BRESCIA;LINEA ENERGIA SPA - EX Sageter;Bonara;;9385;632;                                                                                                                                                                           ##
DARFO BOARIO TERME;BRESCIA;PUNTO VENDITA AGIP 1739;ROCCOLE;38;4040;633;                                                                                                                                                                               ##
DARFO BOARIO TERME;BRESCIA;PUNTO VENDITA TAMOIL PETROLI N. 6280;MARCONI;100;3424;634;                                                                                                                                                                 ##
DARFO BOARIO TERME;BRESCIA;Società DARFO SPA - SAGETER ENERGIA SPA;BONARA - LOC. CORNA;;3523;635;                                                                                                                                                    ##
DELLO;BRESCIA;AREA ECO NEPROMA;San Zenone;;14746;636;                                                                                                                                                                                                 ##
DESENZANO DEL GARDA;BRESCIA;P. V. ESSO N. 1015;MARCONI;2;4130;637;                                                                                                                                                                                    ##
DESENZANO DEL GARDA;BRESCIA;P.V. Shell 14023;Mantova;5;15155;638;                                                                                                                                                                                     ##
DESENZANO DEL GARDA;BRESCIA;Sito FEDERAL MOGUL;Marconi;131;5255;639;                                                                                                                                                                                  ##
ERBUSCO;BRESCIA;P. V. Total Erg 4034 AdS SEBINO NORD;A4 Milano Venezia;-;3454;640;                                                                                                                                                                    ##
