Comune;Provincia;Denominazione sito;Indirizzo;Numero civico;ID Anagrafe;CampoUnivoco;                                                                                                                                                                 ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;AREA SACRI;Cadore;38;10510;506;                                                                                                                                                                     ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;CAVA PARPAGLIONA - MELZI & FIGLI;PARPAGLIONA;;2901;507;                                                                                                                                             ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;IMMOBILIARE VIALE ITALIA SRL;Italia;936;12809;508;                                                                                                                                                  ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;PARCHEGGIO AUTOSILO;MANTOVANI;;2676;509;                                                                                                                                                            ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;P.V. ESSO 0072;Rimembranze;191;4157;510;                                                                                                                                                            ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;Scuola Media VII;F.lli di Dio;-;7766;511;                                                                                                                                                           ##
SESTO SAN GIOVANNI;CITTA' METROPOLITANA DI MILANO;SOCIETA'  E.C.I.S. S.R.L. LOTTO 2SS4 CIMEP;PACE ANG. VIA MANTOVA;;2687;512;                                                                                                                         ##
SETTALA;CITTA' METROPOLITANA DI MILANO;HENKEL;DON MINZONI;1;3229;513;                                                                                                                                                                                 ##
SETTALA;CITTA' METROPOLITANA DI MILANO;SUN CHEMICAL GROUP SpA ex TOTAL INCHIOSTRI S.p.A.  Divisione Caleppio 1;A. GRANDI;6;206;514;                                                                                                                   ##
SETTIMO MILANESE;CITTA' METROPOLITANA DI MILANO;PROSINTEX INDUSTRIE CHIMICHE ITALIANE S.R.L.;FERMI;20-26;2685;515;                                                                                                                                    ##
SETTIMO MILANESE;CITTA' METROPOLITANA DI MILANO;SUBERNOVA;SERRA;6;3232;516;                                                                                                                                                                           ##
TREZZANO ROSA;CITTA' METROPOLITANA DI MILANO;CAVA GERA EX CAVA DE LUCCHI;DE GASPERI;;4162;517;                                                                                                                                                        ##
TREZZANO SUL NAVIGLIO;CITTA' METROPOLITANA DI MILANO;ALGAFINA, AREA ALGALITE;LEONARDO DA VINCI;271;3209;518;                                                                                                                                          ##
TREZZANO SUL NAVIGLIO;CITTA' METROPOLITANA DI MILANO;Area PII Brunelleschi;Brunelleschi;36-44;10729;519;                                                                                                                                              ##
TREZZANO SUL NAVIGLIO;CITTA' METROPOLITANA DI MILANO;BRENNTAG SPA;BOCCACCIO;3;2890;520;                                                                                                                                                               ##
TREZZO SULL'ADDA;CITTA' METROPOLITANA DI MILANO;DITTA FORNACE LATERIZI, MAPPALI 68-69, Fg°11;GUARNIERIO;100;2274;521;                                                                                                                                ##
TREZZO SULL'ADDA;CITTA' METROPOLITANA DI MILANO;Ditta SATRI srl ex ZINDER;LOMBARDIA;58;224;522;                                                                                                                                                       ##
TREZZO SULL'ADDA;CITTA' METROPOLITANA DI MILANO;FORNACE DELL'ADDA, BETONVILLA S.P.A.;BRASCA;131;2769;523;                                                                                                                                             ##
TREZZO SULL'ADDA;CITTA' METROPOLITANA DI MILANO;via Brasca 131 ditta FORNACE DELL'ADDA;BRASCA;131;1614;524;                                                                                                                                           ##
TRIBIANO;CITTA' METROPOLITANA DI MILANO;fuoriuscita idrocarburi su sp 29;Rossini;;15741;525;                                                                                                                                                          ##
TRIBIANO;CITTA' METROPOLITANA DI MILANO;SIRPI SPA;Cassino d'Alberi;19;15313;526;                                                                                                                                                                      ##
TRUCCAZZANO;CITTA' METROPOLITANA DI MILANO;Stabile privato;Milano;10;9865;527;                                                                                                                                                                        ##
TURBIGO;CITTA' METROPOLITANA DI MILANO;AREA LAGHETTO ARBUSTA;laghetto;;13848;528;                                                                                                                                                                     ##
TURBIGO;CITTA' METROPOLITANA DI MILANO;AREA  VIA MOLINARA;Molinara;;10285;529;                                                                                                                                                                        ##
TURBIGO;CITTA' METROPOLITANA DI MILANO;PRATI DELLA FOLLA, EX DISCARICA BAROZZA;;;229;530;                                                                                                                                                             ##
VANZAGO;CITTA' METROPOLITANA DI MILANO;Cava Valderenne;;;269;531;                                                                                                                                                                                     ##
VIMODRONE;CITTA' METROPOLITANA DI MILANO;Deposito TAMOIL PETROLI SpA;"N. 11 ""PADANA SUPERIORE""";;2871;532;                                                                                                                                          ##
VIMODRONE;CITTA' METROPOLITANA DI MILANO;EX DISCARICA E.C.A., ELFE sas,  NOVA Ludovico e figli;MIRAZZANO;-;244;533;                                                                                                                                   ##
VIMODRONE;CITTA' METROPOLITANA DI MILANO;EX TOSCOPETROL, BRENNTAG SPA;PADANA SUPERIORE n.11;35;2588;534;                                                                                                                                              ##
BARANZATE;CITTA' METROPOLITANA DI MILANO;Cava RONCHI;Bissone;-;16;535;                                                                                                                                                                                ##
BARANZATE;CITTA' METROPOLITANA DI MILANO;COSTRUZIONI AGRICOLE E INDUSTRIALI Srl, ex WEISS;Belgioioso/Tonale;-;2887;536;                                                                                                                               ##
ALBINO;BERGAMO;Area lungo il fiume Serio, rinvenimento rifiuti interrati;Pertini;-;15253;537;                                                                                                                                                         ##
ALBINO;BERGAMO;Ex AUTODEMOLIZIONI;LUNGA;46/A;3996;538;                                                                                                                                                                                                ##
ARCENE;BERGAMO;EX CAVA CASCINA DAZIO;CASCINA DAZIO;;260;539;                                                                                                                                                                                          ##
BAGNATICA;BERGAMO;DISCARICA ABUSIVA;V° ALPINI;;2735;540;                                                                                                                                                                                             ##
BERGAMO;BERGAMO;Area CTG ITALCEMENTI GROUP;Vivaldi;13;4297;541;                                                                                                                                                                                       ##
BERGAMO;BERGAMO;AREA EX REGGIANI MACCHINE;DEL GUERINO;;4172;542;                                                                                                                                                                                      ##
BERGAMO;BERGAMO;CASERMA;Suardi;30;14427;543;                                                                                                                                                                                                          ##
BERGAMO;BERGAMO;EX TINTORIA OROBICA;Rota;-;9285;544;                                                                                                                                                                                                  ##
BERGAMO;BERGAMO;P.V. ERG BG096;Broseta;75/b;6245;545;                                                                                                                                                                                                 ##
BOLGARE;BERGAMO;AREA S2BIS;Europa;38;14966;546;                                                                                                                                                                                                       ##
BOLTIERE;BERGAMO;ex Cava Francesca;Fopa del Firmì;;18;547;                                                                                                                                                                                           ##
BONATE SOPRA;BERGAMO;AREA ex autodemolizioni;Carsana;41;10435;548;                                                                                                                                                                                    ##
BREMBATE;BERGAMO;ex D.I.M.;Grignano;33;22;549;                                                                                                                                                                                                        ##
BREMBATE DI SOPRA;BERGAMO;READY LINE SRL;G. DONIZETTI;114;3066;550;                                                                                                                                                                                   ##
CALCIO;BERGAMO;AZIENDA AGRICOLA ZANETTI;;;2794;551;                                                                                                                                                                                                   ##
CALCIO;BERGAMO;TAV TRATTA MILANO VERONA LOC CASCINA TORCHIA;PROG. IN51 TRATTA MI/VE;;3588;552;                                                                                                                                                        ##
CANONICA D'ADDA;BERGAMO;SCHLUMBERGER ITALIANA SPA-EX DOWELL;DEL LAVORO;1;3058;553;                                                                                                                                                                    ##
CARAVAGGIO;BERGAMO;EX VENETA MINERARIA;;;2621;554;                                                                                                                                                                                                    ##
CASAZZA;BERGAMO;ENI S.p.A. P.V. Agip 1522;NAZIONALE in fregio alla ss 42 KM 43+201;;3995;555;                                                                                                                                                         ##
CASIRATE D'ADDA;BERGAMO;CASIRATE ISID CENTRALE, ENI SPA;;;12807;556;                                                                                                                                                                                  ##
CASTELLI CALEPIO;BERGAMO;AREA EX FONDERIA DEL QUINTANO;LOC. QUINTANO;;3825;557;                                                                                                                                                                       ##
CASTELLI CALEPIO;BERGAMO;Faini Bigiotteria Porto, ROTOGALVANO SNC, ERGA S.P.A.GRUPPO ENEL;PORTO;;385;558;                                                                                                                                             ##
CISERANO;BERGAMO;Ditta ex CastelCrom s.r.l.;MARTIN LUTHER KING;5;2669;559;                                                                                                                                                                            ##
CISERANO;BERGAMO;ex depuratore;ex depuratore;;62;560;                                                                                                                                                                                                 ##
CISERANO;BERGAMO;EX Discarica Via S.P. Francesca;S.P. Francesca;;63;561;                                                                                                                                                                              ##
CISERANO;BERGAMO;Plume Zingonia, pozzo barriera di Ciserano;Giovanni XXIII;;15906;562;                                                                                                                                                                ##
CIVIDATE AL PIANO;BERGAMO;AZIENDA AGRICOLA SAN GIORGIO;;;65;563;                                                                                                                                                                                      ##
CIVIDATE AL PIANO;BERGAMO;ditta Nuova L.G.Z. srl;Cascina Bosco;1;399;564;                                                                                                                                                                             ##
CIVIDATE AL PIANO;BERGAMO;OLIFER ACP Acciaierie;MOTTA ALTA;14;397;565;                                                                                                                                                                                ##
COSTA VOLPINO;BERGAMO;DISCARICA DI SCORIE ACCIAIERIE PISOGNE;Pizzo - Torrente Ogliolo;;77;566;                                                                                                                                                        ##
COSTA VOLPINO;BERGAMO;PIATTAFORMA ECOLOGICA;Santa martina;10;10293;567;                                                                                                                                                                               ##
COSTA VOLPINO;BERGAMO;P.V. TOTAL N. 2538;NAZIONALE;21;3993;568;                                                                                                                                                                                       ##
DALMINE;BERGAMO;Ex P.V. Shell 11117;delle Valli;-;14186;569;                                                                                                                                                                                          ##
GAZZANIGA;BERGAMO;Area Via Crispi;Crispi;-;4343;570;                                                                                                                                                                                                  ##
GORLE;BERGAMO;EX DEPOSITO PETROLIFERO;Leopardi;6;13486;571;                                                                                                                                                                                           ##
GORLE;BERGAMO;FARMOL S.P.A. E FERRETTICASA;MONTE BIANCO;;3329;572;                                                                                                                                                                                    ##
LEVATE;BERGAMO;DITTA CO.BE.A;;;2558;573;                                                                                                                                                                                                              ##
LOVERE;BERGAMO;P.V. SHELL 11095;Marconi;55;4254;574;                                                                                                                                                                                                  ##
MADONE;BERGAMO;P.I.I. Ex Borregard  - GREEN SERVIZI S.r.l.;carso;73;11766;575;                                                                                                                                                                        ##
MONASTEROLO DEL CASTELLO;BERGAMO;P.V. carburanti TOTAL;Kennedy;2;11087;576;                                                                                                                                                                           ##
MOZZANICA;BERGAMO;LUGO TRASPORT, EX CAVA BERGAMINI;;;146;577;                                                                                                                                                                                         ##
MOZZANICA;BERGAMO;ROHM AND HAAS ITALIA SRL;11 Km 190;;147;578;                                                                                                                                                                                        ##
OSIO SOPRA;BERGAMO;EX SMALTERIE OSIO, JACOB DELAFON ITALIA SRL;STATALE;7/9;3071;579;                                                                                                                                                                  ##
PEDRENGO;BERGAMO;CHEMTURA MANUFACTURING ITALY SRL EX GREAT LAKES;MAZZINI;11;2660;580;                                                                                                                                                                 ##
PONTE NOSSA;BERGAMO;Enirisorse ex Ditta Nuova Samin, Ponte Nossa S.p.A.;PONTE RISO;;168;581;                                                                                                                                                          ##
SAN PELLEGRINO TERME;BERGAMO;CLUB TIRO AL VOLO;LOCALITA'  BALCONCELLO;;3821;582;                                                                                                                                                                      ##
SCANZOROSCIATE;BERGAMO;EX-LONZA SPA - POLYNT SPA;ENRICO FERMI;51;3125;583;                                                                                                                                                                            ##
SERIATE;BERGAMO;AREA IPER;Dolomiti;;14228;584;                                                                                                                                                                                                        ##
SERIATE;BERGAMO;Tiro al volo;Lazzaretto;-;15263;585;                                                                                                                                                                                                  ##
SORISOLE;BERGAMO;"Azienda Agricola ""AL LAGHETTO""- ex discarica Fonderia ARICCI";loc. Petosino Via Marconi;65;2165;586;                                                                                                                              ##
SPIRANO;BERGAMO;Ex Piazzola Ecologica;Pace;-;11227;587;                                                                                                                                                                                               ##
TELGATE;BERGAMO;MARMI OROBICI GRANITI SPA;CAVALLERA;1;3547;588;                                                                                                                                                                                       ##
TERNO D'ISOLA;BERGAMO;Ditta FBM HUDSON;Valtrighe;5;2881;589;                                                                                                                                                                                          ##
TORRE PALLAVICINA;BERGAMO;CAVA TELGATA Srl;;;2741;590;                                                                                                                                                                                                ##
TRESCORE BALNEARIO;BERGAMO;AREA VALFERRO SNC;Gramsci;35;14810;591;                                                                                                                                                                                    ##
TRESCORE BALNEARIO;BERGAMO;Preorobica Immobiliare srl area ex REPING srl;Gramsci;;219;592;                                                                                                                                                            ##
TREVIGLIO;BERGAMO;BASLINI SPA;BASLINI;1;3069;593;                                                                                                                                                                                                     ##
TREVIGLIO;BERGAMO;Farchemia S.R.L.;Bergamo;121;492;594;                                                                                                                                                                                               ##
TREVIGLIO;BERGAMO;ICIB SPA;Casorate Vecchia;4;11289;595;                                                                                                                                                                                              ##
TREVIGLIO;BERGAMO;SCALO FERROVIARIO TREVIGLIO OVEST;ferroviario;;13866;596;                                                                                                                                                                           ##
VERDELLINO;BERGAMO;CDS Azienda Galvanica;Lisbona;20;15226;597;                                                                                                                                                                                        ##
